1-Methyladenosine_pos-001,1-Methylhistidine_pos-002,1-Methylnicotinamide_pos-003,2-Aminoadipic acid_pos-005,2-Aminooctanoic acid_pos-006,3-Indoleacrylic acid_pos-012,4-Pyridoxic acid_pos-018,5-Hydroxyindoleacetic acid_pos-021,5-Hydroxylysine_pos-023,7-Methylguanosine_pos-028,Acetylcarnitine_pos-029,Acetylcholine_pos-030,AICAR_pos-034,Alanine-Sarcosine_pos-035,Arginine_pos-038,Argininosuccinic acid_pos-039,Asparagine_pos-040,Betaine_pos-042,cAMP_pos-046,Carnitine_pos-047,Carnitine-C12_pos-048,Carnitine-C14_pos-049,Carnitine-C16_pos-050,Carnitine-C18_pos-051,Carnitine-C3_pos-052,Carnitine-C4_pos-053,Carnitine-C5_pos-054,Carnitine-C6_pos-055,Carnitine-C8_pos-056,cGMP_pos-058,Choline_pos-059,Citrulline_pos-060,CMP_pos-061,Creatine_pos-062,Creatinine_pos-063,Cystine_pos-068,Cytidine_pos-069,Cytosine_pos-070,dAMP_pos-071,Glutamine_pos-079,Glycerophosphorylcholine_pos-080,Glycochenodeoxycholate_pos-082,Glycocholic acid_pos-083,GMP_pos-084,GSH_pos-085,GSSG_pos-086,Guanidineacetic acid_pos-087,Guanine_pos-088,Guanosine_pos-089,Histidine_pos-091,Homocysteine_pos-093,Homoserine_pos-094,Hydroxyproline_pos-095,Hypoxanthine_pos-096,Inosine_pos-099,Isoleucine_pos-100,Kynurenic acid_pos-101,Kynurenine_pos-102,Leucine_pos-103,Lysine_pos-105,Methionine_pos-107,Methionine sulfoxide_pos-108,"N,N-Dimethylglycine_pos-110",N-Acetyl-aspartic acid_pos-111,N-Acetylputrescine_pos-114,NAD_pos-115,Neopterin_pos-117,Nicotinamide_pos-118,nicotinate_pos-119,O-Acetyl-serine_pos-123,Ornithine_pos-124,Pantothenic acid_pos-125,Phenylalanine_pos-127,Phosphocholine _pos-128,Proline_pos-132,Purine_pos-134,Pyridoxine_pos-137,Riboflavin_pos-138,S-Adenosyl-methionine_pos-139,SDMA-ADMA_pos-140,Serotonin_pos-142,S-Methyl-5'-thioadenosine_pos-143,Spermidine_pos-144,Thymine_pos-150,Trimethylamine N-oxide_pos-151,Trimethyllysine_pos-152,Tryptophan_pos-154,Tyrosine_pos-155,Uracil_pos-156,Urea_pos-157,Valine-Norvaline_pos-158,Xanthosine_pos-160,NMN_pos-162,Anthranilate_pos-163,NR_pos-175,Tryptamin_pos-176,3-Hydroxy-kynnrenine_pos-177,"1,2,3-Benzenetricarboxylic acid_neg-001",2-Hydroxyisocaproic acid_neg-003,2-Ketohexanoic acid_neg-005,Glycerate-2P_Glycerate-3P_neg-006,3-Methyl-2-oxovaleric acid_neg-008,3-Phenyllactic acid_neg-009,4-Hydroxy-3-methoxyphenylglycol_neg-011,4-Hydroxyphenylpyruvic acid_neg-013,Acetoacetate_neg-015,ADP-ribose_neg-017,AMP_neg-019,Ascorbic acid_neg-020,Cholic acid_neg-023,Citraconic acid_neg-025,Citrate_neg-026,Dihydroorotic acid_neg-031,Fumaric acid_neg-036,G6P-F6P_neg-037,Glucarate_neg-039,Gluconic acid_neg-040,Glucose-Fructose_neg-042,Glucuronic acid_neg-043,Glutamate_neg-044,Glyceric acid_neg-046,Hydroxyglutaric acid_neg-050,IMP_neg-051,Indole-3-carboxylic acid_neg-052,Isocitrate_neg-054,Lactic acid_neg-055,N-Acetyl-Asp-Glu_neg-060,N-Acetyl-D-glucosamine 6-phosphate_neg-061,N-Acetyl-L-alanine_neg-062,Orotic acid_neg-065,Phosphocreatine_neg-067,Pyridoxal 5'-phosphate_neg-071,Pyroglutamic acid_neg-072,Ribose 5-phosphate_neg-074,S-(5'-Adenosyl)-L-homocysteine_neg-075,sn-Glycerol 3-phosphate _neg-077,Sorbitol_neg-078,Succinate_neg-079,Taurine_neg-080,UMP_neg-087,Uridine_neg-088,Xanthine_neg-089,Xanthurenic acid_neg-090,α-D-Galactose 1-phosphate_neg-092,α-Ketoglutaric acid_neg-093,α-ketoisovaleric acid_neg-094,malate_neg-096,label
0.00109471,0.003049554,0.000845199,0.000255754,4.22E-05,9.95E-05,0.000283509,4.53E-05,1.80E-05,3.66E-05,0.031612861,0.001696865,6.31E-05,0.002466466,0.003503921,4.66E-05,0.000114386,0.022939057,6.26E-05,0.036605293,0.000177654,1.21E-05,0.000313718,5.24E-05,0.003512714,0.001247323,0.000658599,0.000977668,0.003981395,1.57E-05,0.014321816,0.006119278,2.16E-05,0.015446485,0.022238737,0.001086957,2.75E-05,4.08E-05,1.27E-05,0.028181861,0.000922974,3.19E-06,-1.56E-05,0.000105093,7.90E-05,0.00092083,0.000541941,9.64E-06,6.11E-05,0.007171496,0.000228297,0.00264059,0.001543112,-0.000860029,3.46E-05,0.101064942,0.00014976,0.002056383,0.179565691,0.006597251,0.010035302,0.000114443,0.003419717,6.22E-05,0.000253338,2.03E-05,5.04E-05,0.001505175,8.59E-05,8.46E-05,0.001972475,6.78E-05,0.11936374,0.00017558,0.10299723,0.000206071,0.000248671,2.10E-05,0.000617375,0.001158168,0.000122042,0.000197027,1.93E-05,0.000166179,0.000227784,0.000636619,0.088477352,0.04086454,1.70E-05,0.023463105,0.059719082,1.04E-05,2.72E-06,2.61E-05,0.000148235,7.43E-05,1.14E-05,2.33E-05,0.000193864,0.002510145,0.000331573,0.000151273,0.000218669,1.07E-05,0.00015776,1.69E-05,5.94E-05,0.000256219,0.000402062,1.71E-05,0.000863696,0.008067476,2.33E-05,0.000168146,7.37E-05,6.86E-05,0.000529836,9.62E-05,0.000127761,0.001183561,0.000135531,0.00011236,0.000316824,2.46E-05,0.001471124,0.015912429,0.000138927,0.000111933,0.000346122,0.000182721,4.52E-05,3.80E-05,0.000175972,0.000120686,9.07E-06,0.000206815,-9.48E-07,0.000678699,0.002247542,6.44E-05,0.000419174,0.000187975,0.000294289,0.000388248,5.60E-05,0.000125623,0.000890254,0
0.000899812,0.00186053,-0.000414784,0.000193653,2.04E-05,3.86E-05,0.000140096,3.32E-05,1.41E-05,0.00010848,0.038962735,0.002421268,4.99E-05,0.002189492,0.002302816,4.64E-05,9.40E-05,0.121386431,0.00011977,0.019387398,0.000169421,1.47E-05,0.000415331,4.11E-05,0.008568809,0.001301661,0.000643104,0.000793888,0.003209838,0.000142773,0.007847509,0.007177911,8.93E-05,0.010953264,0.013375781,0.000773509,0.00066821,9.85E-05,0.00541235,0.022391713,0.001422209,0.000110916,2.42E-05,0.000220835,9.67E-05,0.000222358,0.000336254,0.000429863,0.000661853,0.003735112,0.000247356,0.003217617,0.000605932,0.002058401,0.000611403,0.085873274,0.000100668,0.001290844,0.140968589,0.00504426,0.011301212,0.000440364,0.001959273,8.37E-05,0.00016609,5.50E-05,5.65E-05,0.000336138,0.000272589,0.000176076,0.001561626,9.32E-05,0.112406589,0.000125197,0.104449527,0.000222884,0.000230723,7.74E-05,0.000514937,0.000943682,0.000351519,0.000264142,1.96E-05,0.000148981,0.000142198,0.000494018,0.074140277,0.028255614,0.000135176,0.023336323,0.04263857,6.12E-05,8.24E-06,2.03E-05,7.87E-05,7.90E-05,7.19E-06,2.27E-05,0.000137089,0.001751859,9.95E-05,0.000110801,0.000219742,6.83E-06,0.000160687,3.11E-05,1.18E-05,0.000124619,4.33E-05,0.000761097,0.000777866,0.011492664,3.85E-05,0.000106668,0.00020087,0.000127803,0.001649763,0.000230716,0.000183996,0.000784065,0.000319317,0.000127929,0.000187952,1.74E-05,0.000876995,0.009702113,7.92E-05,0.000131075,0.000192536,0.000296921,1.96E-05,1.06E-05,0.000207449,0.000175042,5.10E-06,0.000773642,3.82E-05,0.000732385,0.002986721,0.000499578,0.000357806,0.000246521,0.000190218,0.000191772,5.28E-05,8.20E-05,0.005048694,1
0.001019471,0.004127869,-0.000114046,0.000390337,3.44E-05,1.68E-05,0.000215832,5.05E-05,2.03E-05,7.88E-05,0.03571172,0.002952805,5.35E-05,0.003040051,0.003045655,6.25E-05,9.73E-05,0.028672007,4.67E-05,0.032018277,0.00019807,1.09E-05,0.000129812,1.95E-05,0.007720916,0.002079167,0.00149396,0.000636716,0.002218922,1.28E-05,0.018098089,0.007752999,6.32E-06,0.005645075,0.017109586,0.001026573,5.30E-05,7.21E-05,1.08E-05,0.024216663,0.001339328,2.79E-05,3.08E-05,0.000333585,8.12E-05,0.000216823,0.000158098,-3.59E-06,2.54E-05,0.004228621,0.000424094,0.002591318,0.001380902,0.002441954,-2.74E-06,0.105430328,0.000181693,0.002855925,0.15820112,0.006641181,0.010458265,0.000153125,0.004385909,9.48E-05,0.000195577,1.75E-05,6.27E-05,-4.24E-05,5.07E-05,9.54E-05,0.002525748,5.07E-05,0.11719,8.92E-05,0.11276847,0.000255821,0.000245719,4.12E-05,0.000848471,0.001151064,0.00018083,0.000297779,1.54E-05,0.00026576,0.00068819,0.000544151,0.094116361,0.047538112,1.45E-06,0.027890419,0.051798374,1.41E-05,7.82E-06,2.18E-05,9.33E-05,9.46E-05,3.20E-05,3.22E-05,0.000151062,0.00194576,0.000127821,0.000131743,0.000285831,1.75E-05,0.000250738,2.90E-05,8.03E-06,0.00018187,0.000172904,0.000162498,0.000706333,0.013852523,2.74E-05,0.00016217,6.45E-05,3.92E-05,0.00084871,0.000122308,0.000234316,0.000816386,0.000133002,0.000175079,8.69E-05,1.56E-05,0.001445975,0.012681278,0.000101424,0.000130933,0.000263179,0.000223132,3.10E-05,8.45E-06,0.000160509,0.00010532,1.36E-05,0.000153348,9.06E-05,0.000370604,0.002380719,8.18E-05,0.000185554,0.00016928,0.000398717,0.000128181,6.98E-05,9.45E-05,0.000920922,1
0.001005428,0.003373442,-0.000147263,0.000312549,1.81E-05,2.94E-05,0.000196914,4.29E-05,2.02E-05,9.64E-05,0.042987223,0.001852106,6.06E-05,0.001955402,0.002090318,5.59E-05,0.0001309,0.019747296,6.27E-05,0.044966207,0.000134353,2.86E-05,0.000384892,6.32E-05,0.005405494,0.001548862,0.000920737,0.000726062,0.002310015,2.07E-05,0.016672861,0.007310413,1.99E-05,0.023501705,0.01604303,0.000937125,3.64E-05,0.000240486,2.57E-05,0.025827772,0.001293099,5.59E-05,5.38E-05,0.0001555,0.000172157,0.000272771,0.000479914,0.000195394,5.02E-05,0.00520654,0.000202665,0.004675454,0.001543528,0.001875931,2.39E-05,0.101695782,0.000193253,0.002009315,0.163919271,0.005452465,0.012437039,0.000223208,0.003949511,8.51E-05,0.000189843,4.91E-05,3.56E-05,0.000595336,6.66E-05,0.000106265,0.0014826,4.57E-05,0.123255842,0.000190254,0.087262668,0.000228468,0.000251547,2.78E-05,0.000690099,0.000885175,0.000510475,0.000204679,2.78E-05,0.000221698,0.000279531,0.000611271,0.094749409,0.042750929,2.74E-05,0.027402977,0.0563089,8.42E-06,1.42E-05,2.47E-05,9.19E-05,8.40E-05,3.72E-05,2.95E-05,0.000118882,0.002174519,0.000220629,0.000141566,0.000213778,1.22E-05,0.000372436,9.79E-05,2.59E-05,0.000102233,0.000636635,-6.29E-07,0.000833962,0.011632878,1.03E-05,0.000171731,8.09E-05,6.56E-05,0.000649984,0.000118312,0.000126827,0.00067388,0.000210016,0.000125676,0.000216372,1.94E-05,0.001349548,0.012395613,0.000102409,9.94E-05,0.000227042,0.000255795,4.17E-05,1.54E-05,0.000104183,8.03E-05,6.85E-06,0.000279172,9.75E-06,0.000543061,0.003661375,0.000130738,0.000299094,0.000193929,0.000451057,0.000466809,7.94E-05,0.000108849,0.00077399,0
0.00095827,0.004284657,-0.000388089,0.000345857,5.87E-05,2.07E-05,0.000209571,2.67E-05,1.76E-05,4.18E-05,0.06228117,0.002607058,6.02E-05,0.002828938,0.006206457,5.10E-05,0.000144961,0.026420194,5.17E-05,0.049714676,0.000396266,2.48E-05,0.000459792,4.96E-05,0.003696888,0.002023135,0.001349656,0.001958421,0.006018149,1.10E-05,0.014667422,0.007580331,1.99E-05,0.015794306,0.018259379,0.001022434,2.83E-05,4.95E-05,5.15E-06,0.02988066,0.00135683,2.93E-05,1.12E-05,5.76E-05,3.49E-05,5.92E-05,0.000650763,7.91E-05,2.16E-05,0.00689017,0.000417778,0.003259787,0.001164168,0.001181086,-1.30E-06,0.095066227,0.000182334,0.001595277,0.141059768,0.007093889,0.010742299,2.51E-05,0.003548557,5.68E-05,0.000219486,2.14E-05,5.76E-05,-0.000273287,8.06E-05,5.22E-05,0.002734185,5.18E-05,0.11713852,0.000152486,0.117525171,0.000217102,0.000275763,1.59E-05,0.000943921,0.000978411,6.55E-05,0.000235164,1.85E-05,0.000176217,0.000387512,0.000568993,0.091329674,0.033787094,-6.69E-06,0.013954476,0.050001582,6.52E-06,8.51E-06,1.70E-05,0.000127853,9.71E-05,1.21E-05,3.82E-05,0.000159486,0.00256908,0.000102045,0.000169724,0.000159188,5.68E-06,0.000129853,6.16E-05,9.79E-06,7.51E-07,0.000109815,3.02E-06,0.000801689,0.006381152,4.57E-05,0.000147219,7.64E-05,4.50E-05,0.000474926,0.000125486,7.84E-05,0.00118409,0.000242076,9.55E-05,1.01E-05,1.74E-05,0.000616224,0.01199124,0.000104197,0.000103825,0.000213794,0.000279993,5.33E-05,1.47E-05,0.000137449,0.000114075,6.67E-06,0.000200993,1.62E-06,0.000331236,0.002711607,1.47E-05,0.000253283,0.000147376,0.000294512,0.000192055,6.09E-05,0.000113647,0.000613233,1
0.000818101,0.006339273,-0.000116391,0.000431524,0.000139279,6.53E-05,0.000259565,4.57E-05,1.65E-05,3.93E-05,0.047730802,0.001711967,5.28E-05,0.002290605,0.004310182,3.42E-05,0.000117671,0.020277073,4.33E-05,0.04260848,0.000121835,8.29E-06,0.00017751,3.09E-05,0.007042895,0.001184579,0.001073508,0.000737221,0.001996231,2.00E-05,0.013857965,0.005569038,2.16E-05,0.017196387,0.015006083,0.001006462,2.45E-05,5.81E-05,1.32E-05,0.025401586,0.001027409,9.91E-06,1.09E-05,0.000158587,5.66E-05,0.000941357,0.000206063,-1.57E-08,1.41E-05,0.004581542,0.00035139,0.003857582,0.002244153,0.001017155,3.58E-06,0.111040117,0.000167567,0.001737619,0.156410583,0.00658323,0.009132855,5.29E-05,0.003538393,6.05E-05,0.000207575,5.27E-05,4.65E-05,0.000647473,4.85E-05,9.32E-05,0.002576895,6.41E-05,0.106007317,0.000181087,0.122489315,0.000183008,0.000221534,2.49E-05,0.000548979,0.000789315,0.000138461,0.000208761,1.71E-05,0.000152803,0.000148877,0.000897627,0.087115105,0.037294336,3.25E-05,0.032003692,0.051731669,9.01E-06,7.44E-06,1.76E-05,9.93E-05,9.71E-05,2.53E-05,2.08E-05,0.000165246,0.001699466,0.000280767,0.000119033,0.000224992,1.23E-05,0.000148124,6.78E-06,2.51E-05,0.000278422,0.000669815,0.000302563,0.000659073,0.007765388,3.78E-05,0.000111941,7.81E-05,6.96E-05,0.000656674,0.000104351,0.000242115,0.001314633,0.000140887,0.000124621,0.000267656,1.32E-05,0.001524507,0.012191881,0.00015618,0.000113116,0.000203304,0.000475909,3.15E-05,2.94E-05,0.00017984,8.03E-05,1.20E-05,0.000194735,1.27E-06,0.000578406,0.00426544,0.000142293,0.00042398,0.000189806,0.000262652,0.000486593,3.79E-05,8.68E-05,0.000728187,0
0.001003785,0.005506979,0.000134874,0.000264137,7.97E-05,1.95E-05,0.000199317,3.50E-05,1.73E-05,4.61E-05,0.043160878,0.002697475,5.30E-05,0.002802903,0.005950634,5.62E-05,0.000141709,0.021710057,4.02E-05,0.047056758,0.000167417,1.23E-05,0.000130582,3.35E-05,0.00633447,0.002513585,0.001202727,0.000696472,0.001784845,1.38E-05,0.014319922,0.008640466,5.37E-05,0.019082438,0.017077358,0.000952456,1.65E-05,7.01E-05,9.09E-06,0.025979682,0.001381337,2.46E-05,1.59E-05,0.000134717,5.90E-05,0.000184608,0.000303242,3.75E-05,9.87E-06,0.007395579,0.000184014,0.002515383,0.001390756,0.000577648,-4.27E-06,0.100649327,0.000112114,0.002089692,0.164533324,0.00784883,0.009531791,6.79E-05,0.003441754,6.07E-05,0.000231846,2.48E-05,3.17E-05,-1.33E-07,3.74E-05,7.52E-05,0.002118981,4.51E-05,0.113758426,0.000183816,0.110094539,0.000234978,0.000243842,2.10E-05,0.000598546,0.001208277,0.000154077,0.000216146,1.89E-05,0.000157162,0.000203779,0.00056708,0.083883496,0.039131347,1.43E-05,0.026522672,0.052987514,7.76E-06,9.84E-06,2.20E-05,9.53E-05,8.50E-05,2.71E-05,3.15E-05,0.000212244,0.002020401,0.000191565,0.000134037,0.000274334,8.04E-06,0.000251822,4.47E-06,1.47E-05,9.83E-05,0.000149707,-4.18E-06,0.000754773,0.008871938,1.42E-05,0.000110225,8.49E-05,5.64E-05,0.000583009,0.000116062,0.000126053,0.000725665,0.000107905,0.000115844,2.84E-05,1.36E-05,0.00151555,0.012034393,0.000127919,0.000132505,0.000216553,0.000199465,3.74E-05,1.92E-05,0.000103221,5.38E-05,7.98E-06,0.000197159,7.94E-06,0.000319703,0.003449832,0.000169667,0.000230903,0.000160842,0.000259625,0.000235682,4.74E-05,9.84E-05,0.000750738,1
0.000798619,0.004048442,0.000430579,0.000266631,6.78E-05,4.35E-05,0.000219233,4.34E-05,1.50E-05,8.67E-05,0.056893747,0.002304145,5.48E-05,0.002024315,0.003571477,4.74E-05,0.000190118,0.02909273,5.29E-05,0.031822709,0.000463985,1.86E-05,0.00039957,6.41E-05,0.012031562,0.0014079,0.001297653,0.001245612,0.005074744,1.71E-05,0.016666217,0.008447564,2.47E-05,0.015240222,0.018483858,0.001096874,2.13E-05,7.37E-05,1.00E-05,0.028484874,0.000962444,4.50E-05,5.33E-06,0.000124233,0.000105323,0.000344727,0.000707468,1.87E-06,2.77E-05,0.006260744,0.001391489,0.003447699,0.001682645,0.002398295,1.27E-05,0.087583018,0.000178849,0.001860764,0.146815536,0.005889955,0.013233876,8.59E-05,0.003902039,7.56E-05,0.000199234,6.75E-05,5.56E-05,0.000366271,6.35E-05,7.68E-05,0.002176293,5.04E-05,0.127576879,0.000151544,0.104304156,0.000272698,0.000210169,2.06E-05,0.000876989,0.000800805,0.000238764,0.000217793,2.00E-05,0.000194925,0.000501181,0.000596153,0.086430146,0.042140184,2.40E-05,0.026000672,0.04763934,1.34E-05,1.41E-05,4.00E-05,0.000140316,7.92E-05,3.54E-05,4.56E-05,0.000236456,0.002274189,0.000205607,0.00014873,0.000592259,1.67E-05,0.000169407,1.66E-05,1.44E-05,0.000124834,0.000578787,6.42E-06,0.000800888,0.010803595,3.56E-05,0.000143011,6.42E-05,6.04E-05,0.000654324,0.000129903,0.000170477,0.000847903,0.000149085,0.000104943,0.000117971,1.95E-05,0.00118921,0.012910919,0.000218676,0.00010454,0.000235651,0.000293864,3.39E-05,2.76E-05,0.000162129,0.000112162,7.46E-06,0.000177674,8.31E-06,0.000651209,0.003966175,0.000121914,0.000365712,0.00030627,0.00028116,0.000310973,4.09E-05,0.000115326,0.000769481,0
0.000913827,0.005280193,-0.000422653,0.000284656,3.72E-05,5.21E-05,0.000265034,6.26E-05,2.30E-05,8.48E-05,0.041288238,0.002433177,5.31E-05,0.0018032,0.007837757,7.43E-05,0.000161971,0.022076245,4.62E-05,0.041274626,9.39E-05,3.29E-06,6.51E-05,7.12E-06,0.006564514,0.002532004,0.001132603,0.0006153,0.001625992,7.76E-06,0.016403119,0.011745966,3.64E-05,0.031911701,0.015766099,0.001038667,3.99E-05,0.000278783,6.75E-06,0.023784425,0.002032648,1.18E-05,1.94E-05,0.000131896,2.95E-05,9.44E-05,0.000409226,-6.28E-07,1.08E-05,0.008797256,0.000419191,0.002538027,0.003916979,0.001269583,-4.73E-06,0.101896809,0.000211064,0.002325378,0.156994546,0.0054696,0.007879491,0.000171614,0.003984562,7.07E-05,0.000339743,2.51E-05,6.85E-05,-1.09E-06,4.36E-05,7.69E-05,0.002535943,4.82E-05,0.11752528,0.000106837,0.109724746,0.000231515,0.000217126,1.91E-05,0.000678232,0.000823336,0.000257464,0.000208929,1.74E-05,0.000191408,0.000679959,0.000795644,0.08520238,0.028356857,1.32E-05,0.032286463,0.05509482,9.67E-06,6.08E-06,2.12E-05,0.000125344,8.49E-05,2.95E-05,3.75E-05,0.000291065,0.002006197,0.000190627,0.000121688,0.000591586,1.19E-05,7.29E-05,3.11E-05,7.99E-06,0.000100338,0.000284669,4.82E-05,0.000715864,0.006081267,2.00E-05,8.27E-05,9.01E-05,7.38E-05,0.000717937,8.70E-05,0.00032586,0.000873083,0.000135065,0.000141719,0.000137295,1.52E-05,0.000987794,0.009087464,8.80E-05,0.000199573,0.000193631,7.35E-05,2.56E-05,1.33E-05,0.000102871,0.000105611,5.93E-06,0.000194396,1.96E-05,0.00031498,0.003178441,0.000167766,0.000220173,0.000162743,0.000210051,0.000284312,5.32E-05,9.13E-05,0.000527943,1
0.000925345,0.005005172,0.000216125,0.00025647,7.99E-05,2.03E-05,0.00028353,4.60E-05,1.68E-05,5.25E-05,0.080955032,0.001325874,3.92E-05,0.00197041,0.002220241,3.13E-05,0.000213469,0.019789993,4.37E-05,0.040177316,0.000434888,2.47E-05,0.000502571,9.45E-05,0.007730253,0.001593262,0.000927011,0.001603998,0.005372611,1.58E-05,0.015857354,0.007823727,2.02E-05,0.022763522,0.014825159,0.000961682,2.37E-05,5.76E-05,1.44E-05,0.026393507,0.000946217,1.37E-05,-1.17E-05,8.76E-05,7.83E-05,0.001628061,0.000276452,2.31E-05,1.09E-05,0.005003675,0.000581476,0.002793222,0.001960661,0.002450373,1.20E-06,0.109792777,0.000183768,0.001456132,0.182262307,0.006806981,0.007647876,5.14E-05,0.003710334,4.43E-05,0.000253293,2.38E-05,5.17E-05,0.000965816,6.22E-05,9.04E-05,0.002641291,4.57E-05,0.106992535,0.00015603,0.088405724,0.0002054,0.000210379,2.48E-05,0.000607997,0.00091204,0.000101415,0.000190405,1.61E-05,0.000125201,0.000279617,0.000844864,0.074778157,0.023289609,3.23E-05,0.025304649,0.058709055,8.15E-06,7.40E-06,1.64E-05,9.63E-05,7.18E-05,8.03E-06,2.17E-05,0.000135715,0.002588733,0.000290269,0.000147835,9.34E-05,7.44E-06,8.86E-05,0.000292021,5.59E-05,0.000147602,0.001171968,-4.10E-06,0.000678778,0.00773357,4.16E-05,7.21E-05,8.11E-05,5.39E-05,0.000613153,0.000128781,0.000112904,0.000846908,0.000199279,8.05E-05,0.000116965,1.58E-05,0.001656165,0.01087001,6.61E-05,0.000108444,0.000203108,0.000211792,2.29E-05,2.82E-05,0.000151295,7.94E-05,1.08E-05,0.000165225,1.01E-05,0.000409288,0.003409409,0.00019448,0.000410868,0.000188121,0.000155141,0.000220636,3.19E-05,0.000114717,0.000843417,0
